priority,task_id,family,purpose,target,method,script,logical_training_units,session_split,description
30,C12_sidetune,cnn,fill_missing_core_baseline,table_14_15,sidetune,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C12_sidetune.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Caltech101 / ResNet-18 / 10ep
40,C13_bam,cnn,fill_missing_core_baseline,table_18_19,bam,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C13_bam.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,EuroSAT / MobileNetV3-Small / 25ep
40,C13_bitfit,cnn,fill_missing_core_baseline,table_18_19,bitfit,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C13_bitfit.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,EuroSAT / MobileNetV3-Small / 25ep
40,C13_conv_r4,cnn,fill_missing_core_baseline,table_18_19,conv_r4,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C13_conv_r4.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,EuroSAT / MobileNetV3-Small / 25ep
40,C13_dt1d,cnn,fill_missing_core_baseline,table_18_19,dt1d,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C13_dt1d.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,EuroSAT / MobileNetV3-Small / 25ep
40,C13_full,cnn,fill_missing_core_baseline,table_18_19,full,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C13_full.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,EuroSAT / MobileNetV3-Small / 25ep
40,C13_lora_conv,cnn,fill_missing_core_baseline,table_18_19,lora_conv,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C13_lora_conv.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,EuroSAT / MobileNetV3-Small / 25ep
40,C13_residual,cnn,fill_missing_core_baseline,table_18_19,residual,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C13_residual.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,EuroSAT / MobileNetV3-Small / 25ep
40,C13_sidetune,cnn,fill_missing_core_baseline,table_18_19,sidetune,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C13_sidetune.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,EuroSAT / MobileNetV3-Small / 25ep
40,C13_ssf,cnn,fill_missing_core_baseline,table_18_19,ssf,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C13_ssf.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,EuroSAT / MobileNetV3-Small / 25ep
50,D03U_bitfit,dense,fill_missing_core_baseline,semantic_pet_deeplab,bitfit,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/dense/D03U_bitfit.sh,3 final seeds (fixed target LR),10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / DeepLab semantic segmentation
50,D03U_residual_adapter,dense,fill_missing_core_baseline,semantic_pet_deeplab,residual_adapter,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/dense/D03U_residual_adapter.sh,3 final seeds (fixed target LR),10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / DeepLab semantic segmentation
50,D03U_ssf,dense,fill_missing_core_baseline,semantic_pet_deeplab,ssf,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/dense/D03U_ssf.sh,3 final seeds (fixed target LR),10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / DeepLab semantic segmentation
60,D04U_bam,dense,fill_missing_core_baseline,binary_vit_pennfudan,bam,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/dense/D04U_bam.sh,3 final seeds (fixed target LR),10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,PennFudan / ViT-B16 binary segmentation
60,D04U_conv_adapter,dense,fill_missing_core_baseline,binary_vit_pennfudan,conv_adapter,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/dense/D04U_conv_adapter.sh,3 final seeds (fixed target LR),10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,PennFudan / ViT-B16 binary segmentation
60,D04U_residual_adapter,dense,fill_missing_core_baseline,binary_vit_pennfudan,residual_adapter,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/dense/D04U_residual_adapter.sh,3 final seeds (fixed target LR),10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,PennFudan / ViT-B16 binary segmentation
60,D04U_ssf,dense,fill_missing_core_baseline,binary_vit_pennfudan,ssf,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/dense/D04U_ssf.sh,3 final seeds (fixed target LR),10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,PennFudan / ViT-B16 binary segmentation
70,D06U_bitfit,dense,fill_missing_core_baseline,detection_pet_fasterrcnn,bitfit,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/dense/D06U_bitfit.sh,3 final seeds (fixed target LR),10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / Faster R-CNN detection
70,D06U_residual_adapter,dense,fill_missing_core_baseline,detection_pet_fasterrcnn,residual_adapter,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/dense/D06U_residual_adapter.sh,3 final seeds (fixed target LR),10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / Faster R-CNN detection
70,D06U_ssf,dense,fill_missing_core_baseline,detection_pet_fasterrcnn,ssf,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/dense/D06U_ssf.sh,3 final seeds (fixed target LR),10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / Faster R-CNN detection
80,D07U_bam,dense,fill_missing_core_baseline,v6_semantic_pet_vit_b16,bam,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/dense/D07U_bam.sh,3 final seeds (fixed target LR),10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / ViT-B16 semantic segmentation
80,D07U_conv_adapter,dense,fill_missing_core_baseline,v6_semantic_pet_vit_b16,conv_adapter,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/dense/D07U_conv_adapter.sh,3 final seeds (fixed target LR),10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / ViT-B16 semantic segmentation
80,D07U_residual_adapter,dense,fill_missing_core_baseline,v6_semantic_pet_vit_b16,residual_adapter,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/dense/D07U_residual_adapter.sh,3 final seeds (fixed target LR),10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / ViT-B16 semantic segmentation
80,D07U_ssf,dense,fill_missing_core_baseline,v6_semantic_pet_vit_b16,ssf,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/dense/D07U_ssf.sh,3 final seeds (fixed target LR),10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / ViT-B16 semantic segmentation
100,C01_bam,cnn,fill_missing_core_baseline,table_03,bam,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C01_bam.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,DTD / ResNet-50 / 100ep
100,C01_conv_r4,cnn,fill_missing_core_baseline,table_03,conv_r4,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C01_conv_r4.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,DTD / ResNet-50 / 100ep
100,C01_dt1d,cnn,fill_missing_core_baseline,table_03,dt1d,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C01_dt1d.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,DTD / ResNet-50 / 100ep
100,C01_full,cnn,fill_missing_core_baseline,table_03,full,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C01_full.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,DTD / ResNet-50 / 100ep
100,C01_lora_conv,cnn,fill_missing_core_baseline,table_03,lora_conv,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C01_lora_conv.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,DTD / ResNet-50 / 100ep
100,C01_residual,cnn,fill_missing_core_baseline,table_03,residual,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C01_residual.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,DTD / ResNet-50 / 100ep
100,C01_sidetune,cnn,fill_missing_core_baseline,table_03,sidetune,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C01_sidetune.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,DTD / ResNet-50 / 100ep
100,C01_ssf,cnn,fill_missing_core_baseline,table_03,ssf,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C01_ssf.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,DTD / ResNet-50 / 100ep
110,C02_bam,cnn,fill_missing_core_baseline,table_04,bam,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C02_bam.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Flowers102 / ResNet-50 / 100ep
110,C02_conv_r4,cnn,fill_missing_core_baseline,table_04,conv_r4,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C02_conv_r4.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Flowers102 / ResNet-50 / 100ep
110,C02_dt1d,cnn,fill_missing_core_baseline,table_04,dt1d,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C02_dt1d.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Flowers102 / ResNet-50 / 100ep
110,C02_full,cnn,fill_missing_core_baseline,table_04,full,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C02_full.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Flowers102 / ResNet-50 / 100ep
110,C02_lora_conv,cnn,fill_missing_core_baseline,table_04,lora_conv,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C02_lora_conv.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Flowers102 / ResNet-50 / 100ep
110,C02_residual,cnn,fill_missing_core_baseline,table_04,residual,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C02_residual.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Flowers102 / ResNet-50 / 100ep
110,C02_sidetune,cnn,fill_missing_core_baseline,table_04,sidetune,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C02_sidetune.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Flowers102 / ResNet-50 / 100ep
110,C02_ssf,cnn,fill_missing_core_baseline,table_04,ssf,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C02_ssf.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Flowers102 / ResNet-50 / 100ep
120,C11_bam,cnn,fill_missing_core_baseline,table_13,bam,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C11_bam.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / EfficientNet-B0 / 100ep
120,C11_conv_r4,cnn,fill_missing_core_baseline,table_13,conv_r4,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C11_conv_r4.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / EfficientNet-B0 / 100ep
120,C11_dt1d,cnn,fill_missing_core_baseline,table_13,dt1d,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C11_dt1d.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / EfficientNet-B0 / 100ep
120,C11_full,cnn,fill_missing_core_baseline,table_13,full,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C11_full.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / EfficientNet-B0 / 100ep
120,C11_lora_conv,cnn,fill_missing_core_baseline,table_13,lora_conv,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C11_lora_conv.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / EfficientNet-B0 / 100ep
120,C11_residual,cnn,fill_missing_core_baseline,table_13,residual,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C11_residual.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / EfficientNet-B0 / 100ep
120,C11_sidetune,cnn,fill_missing_core_baseline,table_13,sidetune,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C11_sidetune.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / EfficientNet-B0 / 100ep
120,C11_ssf,cnn,fill_missing_core_baseline,table_13,ssf,ADDITIONAL/FILL_MISSING_EXISTING_TABLES/cnn/C11_ssf.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h session ceiling from shell start; 45m internal reserve; live calibration; recheck before every wave; rerun same task ZIP until complete,Oxford-IIIT Pet / EfficientNet-B0 / 100ep
200,N01_EB0_bam,cnn,new_small_cnn_dataset,v10_n01_stl10_efficientnet_b0_10,bam,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N01_STL10_EfficientNetB0_10ep/N01_EB0_bam.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / EfficientNet-B0 / 10ep
200,N01_EB0_bitfit,cnn,new_small_cnn_dataset,v10_n01_stl10_efficientnet_b0_10,bitfit,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N01_STL10_EfficientNetB0_10ep/N01_EB0_bitfit.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / EfficientNet-B0 / 10ep
200,N01_EB0_conv_r4,cnn,new_small_cnn_dataset,v10_n01_stl10_efficientnet_b0_10,conv_r4,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N01_STL10_EfficientNetB0_10ep/N01_EB0_conv_r4.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / EfficientNet-B0 / 10ep
200,N01_EB0_dt1d,cnn,new_small_cnn_dataset,v10_n01_stl10_efficientnet_b0_10,dt1d,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N01_STL10_EfficientNetB0_10ep/N01_EB0_dt1d.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / EfficientNet-B0 / 10ep
200,N01_EB0_full,cnn,new_small_cnn_dataset,v10_n01_stl10_efficientnet_b0_10,full,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N01_STL10_EfficientNetB0_10ep/N01_EB0_full.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / EfficientNet-B0 / 10ep
200,N01_EB0_linear,cnn,new_small_cnn_dataset,v10_n01_stl10_efficientnet_b0_10,linear,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N01_STL10_EfficientNetB0_10ep/N01_EB0_linear.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / EfficientNet-B0 / 10ep
200,N01_EB0_lora_conv,cnn,new_small_cnn_dataset,v10_n01_stl10_efficientnet_b0_10,lora_conv,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N01_STL10_EfficientNetB0_10ep/N01_EB0_lora_conv.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / EfficientNet-B0 / 10ep
200,N01_EB0_residual,cnn,new_small_cnn_dataset,v10_n01_stl10_efficientnet_b0_10,residual,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N01_STL10_EfficientNetB0_10ep/N01_EB0_residual.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / EfficientNet-B0 / 10ep
200,N01_EB0_sidetune,cnn,new_small_cnn_dataset,v10_n01_stl10_efficientnet_b0_10,sidetune,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N01_STL10_EfficientNetB0_10ep/N01_EB0_sidetune.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / EfficientNet-B0 / 10ep
200,N01_EB0_ssf,cnn,new_small_cnn_dataset,v10_n01_stl10_efficientnet_b0_10,ssf,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N01_STL10_EfficientNetB0_10ep/N01_EB0_ssf.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW STL10 / EfficientNet-B0 / 10ep
210,N02_MV3_bam,cnn,new_small_cnn_dataset,v10_n02_flowers17_mobilenet_v3_small_10,bam,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N02_Flowers17_MobileNetV3Small_10ep/N02_MV3_bam.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / MobileNetV3-Small / 10ep
210,N02_MV3_bitfit,cnn,new_small_cnn_dataset,v10_n02_flowers17_mobilenet_v3_small_10,bitfit,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N02_Flowers17_MobileNetV3Small_10ep/N02_MV3_bitfit.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / MobileNetV3-Small / 10ep
210,N02_MV3_conv_r4,cnn,new_small_cnn_dataset,v10_n02_flowers17_mobilenet_v3_small_10,conv_r4,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N02_Flowers17_MobileNetV3Small_10ep/N02_MV3_conv_r4.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / MobileNetV3-Small / 10ep
210,N02_MV3_dt1d,cnn,new_small_cnn_dataset,v10_n02_flowers17_mobilenet_v3_small_10,dt1d,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N02_Flowers17_MobileNetV3Small_10ep/N02_MV3_dt1d.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / MobileNetV3-Small / 10ep
210,N02_MV3_full,cnn,new_small_cnn_dataset,v10_n02_flowers17_mobilenet_v3_small_10,full,ADDITIONAL/NEW_SMALL_CNN_DATASETS/N02_Flowers17_MobileNetV3Small_10ep/N02_MV3_full.sh,15 validation candidates (3 seeds x 5 LR) + 3 final seeds,10h total ceiling from shell start; 45m reserve; exact 1-epoch calibration; 1.60 safety; no timeout; do not start predicted-over-budget unit; resume ZIP in fresh session,NEW Oxford Flowers17 / MobileNetV3-Small / 10ep
